name,matrix_size,sparsity,average_memory_used_mib
COOMultiplication,64,0.0,0.32565318754989736
COOMultiplication,64,0.5,0.023302338721993738
COOMultiplication,64,0.9,0.013450199207885396
COOMultiplication,128,0.0,1.8159470000824371
COOMultiplication,128,0.5,0.9384483054832176
COOMultiplication,128,0.9,0.019050237339114897
COOMultiplication,512,0.0,170.56006368001303
COOMultiplication,512,0.5,104.06848780314128
COOMultiplication,512,0.9,11.633288192749024
COOMultiplication,1024,0.0,173.49230575561523
COOMultiplication,1024,0.5,229.43009567260742
COOMultiplication,1024,0.9,92.66445795694987
COOMultiplication,2048,0.0,156.9072697957357
COOMultiplication,2048,0.5,116.93420537312825
COOMultiplication,2048,0.9,280.46333567301434
CSCMultiplication,64,0.0,9.554745844867994E-4
CSCMultiplication,64,0.5,0.007616334465951954
CSCMultiplication,64,0.9,0.0035534066389937427
CSCMultiplication,128,0.0,-1.1573200232971031E-4
CSCMultiplication,128,0.5,0.02633797003146426
CSCMultiplication,128,0.9,0.009059656066200556
CSCMultiplication,512,0.0,13.66486696096567
CSCMultiplication,512,0.5,3.7827834509369125
CSCMultiplication,512,0.9,3.397728101513054
CSCMultiplication,1024,0.0,33.2787835257394
CSCMultiplication,1024,0.5,89.65075073242187
CSCMultiplication,1024,0.9,13.667408466339111
CSCMultiplication,2048,0.0,77.22121556599934
CSCMultiplication,2048,0.5,83.48341623942058
CSCMultiplication,2048,0.9,54.022655780498795
CSRMultiplication,64,0.0,0.012807443357081831
CSRMultiplication,64,0.5,0.0032299031489544817
CSRMultiplication,64,0.9,0.002778090969467035
CSRMultiplication,128,0.0,0.055416495619492495
CSRMultiplication,128,0.5,0.04183261697210935
CSRMultiplication,128,0.9,0.010549229244455283
CSRMultiplication,512,0.0,1.301406411563649
CSRMultiplication,512,0.5,3.3289706707000732
CSRMultiplication,512,0.9,3.6713862699620865
CSRMultiplication,1024,0.0,40.44329071044922
CSRMultiplication,1024,0.5,80.74037863991477
CSRMultiplication,1024,0.9,17.850313013250176
CSRMultiplication,2048,0.0,74.39759826660156
CSRMultiplication,2048,0.5,178.8631680806478
CSRMultiplication,2048,0.9,107.95660247802735
blockMultiplication,64,0.0,8.548706374037008E-4
blockMultiplication,64,0.5,6.746858528717134E-4
blockMultiplication,64,0.9,0.0017428766143535337
blockMultiplication,128,0.0,0.026844543778550948
blockMultiplication,128,0.5,0.029287119202547243
blockMultiplication,128,0.9,0.03021820431252433
blockMultiplication,512,0.0,1.3086102572354403
blockMultiplication,512,0.5,1.2836549546983507
blockMultiplication,512,0.9,1.2916277798739346
blockMultiplication,1024,0.0,0.7178351084391276
blockMultiplication,1024,0.5,0.8309345245361328
blockMultiplication,1024,0.9,0.8273480733235677
blockMultiplication,2048,0.0,29.047415415445965
blockMultiplication,2048,0.5,29.005672454833984
blockMultiplication,2048,0.9,29.042208353678387
loopUnrollingMultiplication,64,0.0,0.003726695653858925
loopUnrollingMultiplication,64,0.5,0.0020179135286585667
loopUnrollingMultiplication,64,0.9,0.0021801543822156265
loopUnrollingMultiplication,128,0.0,0.043728916882262464
loopUnrollingMultiplication,128,0.5,0.043519937585186866
loopUnrollingMultiplication,128,0.9,0.05082850273901452
loopUnrollingMultiplication,512,0.0,0.9061180320945946
loopUnrollingMultiplication,512,0.5,0.9725468953450521
loopUnrollingMultiplication,512,0.9,0.9462983414933488
loopUnrollingMultiplication,1024,0.0,3.0080897013346353
loopUnrollingMultiplication,1024,0.5,2.7832463582356772
loopUnrollingMultiplication,1024,0.9,3.0643831888834634
loopUnrollingMultiplication,2048,0.0,28.708877563476562
loopUnrollingMultiplication,2048,0.5,28.708873748779297
loopUnrollingMultiplication,2048,0.9,28.737525939941406
naiveMultiplication,64,0.0,0.0019458449573601367
naiveMultiplication,64,0.5,0.0017915301328753441
naiveMultiplication,64,0.9,0.001974253036334519
naiveMultiplication,128,0.0,0.02287951822229085
naiveMultiplication,128,0.5,0.024380227497645787
naiveMultiplication,128,0.9,0.023649267742837564
naiveMultiplication,512,0.0,0.8992760976155599
naiveMultiplication,512,0.5,1.0406775125643102
naiveMultiplication,512,0.9,1.0452227708770008
naiveMultiplication,1024,0.0,3.0688273111979165
naiveMultiplication,1024,0.5,2.8326492309570312
naiveMultiplication,1024,0.9,2.780340830485026
naiveMultiplication,2048,0.0,28.70627212524414
naiveMultiplication,2048,0.5,29.299935658772785
naiveMultiplication,2048,0.9,28.70627212524414
multiply,64,0.0,1.0273892965661473
multiply,64,0.5,0.7741625649588448
multiply,64,0.9,0.8142927681527486
multiply,128,0.0,8.291016896565756
multiply,128,0.5,2.228551228841146
multiply,128,0.9,12.40404754638672
multiply,512,0.0,16.03972880045573
multiply,512,0.5,14.974266052246094
multiply,512,0.9,14.656684875488281
multiply,1024,0.0,27.292736053466797
multiply,1024,0.5,53.48350270589193
multiply,1024,0.9,35.962127685546875
multiply,2048,0.0,78.36736170450847
multiply,2048,0.5,66.306396484375
multiply,2048,0.9,110.25000762939453
